Category,Sub Category,Ward Name
Electrical,Street Light Not Working,Cottonpet
Electrical,Street Light Not Working,Vasanth Nagar
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Someshwara
Electrical,Street Light Not Working,Chikpete
Road Maintenance(Engg),footpath encroachment,Kadugodi
Road Maintenance(Engg),Road side drains,Kadugodi
Solid Waste (Garbage) Related,Garbage dump,Visvesvarapuram
Storm  Water Drain(SWD),Sewerage water left in SWD,Ramamurthy Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Gali Anjaneya Swamy Temple Ward
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Rajagopala Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Thanisandra
Electrical,Street Light Not Working,Vignana Nagar
Electrical,Street Light Not Working,Yadiyuru
Road Maintenance(Engg),Potholes,C.V.Raman Nagar
Electrical,Street Light Not Working,Garudacharpalya
Solid Waste (Garbage) Related,Garbage dump,Jakkur
Electrical,Street Light Not Working,Dodda Bidarkallu
Electrical,Street Light Not Working,Okalipuram
Electrical,Street Light Not Working,Jeevanbhima Nagar
Electrical,Street Light Not Working,Kavalbyrasandra
Solid Waste (Garbage) Related,Garbage dump,Vidyaranyapura
Electrical,Street Light Not Working,Malleshwaram
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Jnanabharathi Ward
Electrical,Street Light Not Working,Rajagopala Nagar
Forest,Removal of dead/fallen trees,Pulikeshi Nagar
Electrical,Street Light Not Working,T-Dasarahalli
veterinary,Fatally injured - Needs immediate attention,Chamrajpet
Electrical,Street Light Not Working,Ramamurthy Nagar
Road Infrastructure,Road Infrastructure,Vignana Nagar
Electrical,Street Light Not Working,Basavanapura
Electrical,Street Light Not Working,Singasandra
Electrical,Street Light Not Working,Kodigehalli
Electrical,Street Light Not Working,Ullalu
Road Maintenance(Engg),Footpath,Benniganahalli
Storm  Water Drain(SWD),Sewerage water left in SWD,Kodigehalli
Road Maintenance(Engg),Potholes,Shettyhalli
veterinary,Fatally injured - Needs immediate attention,Shettyhalli
Electrical,Street Light Not Working,Nagapura
Electrical,Street Light Not Working,Sagayapuram
Electrical,Street Light Not Working,Hoysala Nagar
Solid Waste (Garbage) Related,Dead animal(s),Bellandur
Road Maintenance(Engg),footpath encroachment,A.Narayanapura
Electrical,Street Light Not Working,Rajarajeshwari Nagar
veterinary,Stray dog related complaints,Horamavu
Forest,Removal of dead/fallen trees,Gali Anjaneya Swamy Temple Ward
Road Maintenance(Engg),footpath encroachment,Sampangiram Nagar
Electrical,Street Light Not Working,Hegganahalli
Electrical,Street Light Not Working,Binnipet
Electrical,Street Light Not Working,Marathalli
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Mallasandra
Forest,obstructions Branches / Trees.,Sudam Nagar
Solid Waste (Garbage) Related,Garbage dump,Lingarajapuram
Solid Waste (Garbage) Related,Garbage dump,Vasanthapura
veterinary,Stray dog related complaints,Rajarajeshwari Nagar
Road Maintenance(Engg),water stagnation,Chikpete
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Kengeri
Solid Waste (Garbage) Related,Dead animal(s),Hagadooru
Road Maintenance(Engg),water stagnation,Byrasandra
Electrical,Street Light Not Working,Hebbal
Solid Waste (Garbage) Related,Garbage dump,Manorayanapalya
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Basavanapura
Road Maintenance(Engg),Road side drains,Arakere
Solid Waste (Garbage) Related,Garbage dump,Subedarapalya
Solid Waste (Garbage) Related,Garbage dump,Begur
Forest,obstructions Branches / Trees.,Nayandanahalli
Storm  Water Drain(SWD),Sewerage water left in SWD,Kuvempu Nagar
Health Dept,Increase in mosquito density,Maruthi Seva Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Shiva Nagar
Road Maintenance(Engg),Road cutting,Konanakunte
Solid Waste (Garbage) Related,Garbage dump,Hongasandra
veterinary,Stray dog related complaints,Dodda Bidarkallu
Road Maintenance(Engg),footpath encroachment,Rajagopala Nagar
