Category,Sub Category,Ward Name
Road Maintenance(Engg),Debris Removal / Construction Material,Thanisandra
Storm  Water Drain(SWD),Maintenance of SWD,Vidyaranyapura
Electrical,Requirement For New Street Lights,Thanisandra
veterinary,Fatally injured - Needs immediate attention,Vasanth Nagar
Road Maintenance(Engg),Road side drains,Shakambari Nagar
veterinary,Stray cattle related complaints,Koramangala
Solid Waste (Garbage) Related,Dead animal(s),Nagarabhavi
Road Maintenance(Engg),footpath encroachment,Hagadooru
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Chokkasandra
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Sagayapuram
veterinary,Stray dog related complaints,Nagapura
veterinary,Animal Rescue - Not well - Requires attention,Dodda Bidarkallu
Solid Waste (Garbage) Related,Garbage dump,Peenya Industrial Area
Road Maintenance(Engg),Debris Removal / Construction Material,S.K.Garden
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Pulikeshi Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Aramane Nagar
E khata / Khata services,Technical Issue In Ekhata,Puttenahalli
Forest,Removal of dead/fallen trees,Chamrajpet
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Gottigere
Road Maintenance(Engg),Potholes,Dodda Bidarkallu
Solid Waste (Garbage) Related,Dead animal(s),Yadiyuru
Road Maintenance(Engg),water stagnation,Horamavu
E khata / Khata services,Ekhata - name correction,Gurappanapalya
Forest,obstructions Branches / Trees.,Bellandur
Road Maintenance(Engg),Potholes,Singasandra
Road Maintenance(Engg),Potholes,Jogupalya
E khata / Khata services,Ekhata Other corrections,Hemmigepura
Health Dept,Increase in mosquito density,Kumaraswamy Layout
Road Maintenance(Engg),Debris Removal / Construction Material,Sunkenahalli
Electrical,Street Light Not Working,Kushal Nagar
Forest,obstructions Branches / Trees.,Sarvagna Nagar
Storm  Water Drain(SWD),Sewerage water left in SWD,Hemmigepura
Health Dept,Unhygienic premises in Hotel etc,Rajaji Nagar
E khata / Khata services,Other Khata / ekhata issues,Banaswadi
Solid Waste (Garbage) Related,Garbage dump,Siddapura
E khata / Khata services,Ekhata missing in online,Jakkasandra
Road Maintenance(Engg),Footpath,Laggere
Forest,Removal of dead/fallen trees,Konena Agrahara
veterinary,Animal birth control/neutering of stray dogs,Binnipet
veterinary,Fatally injured - Needs immediate attention,Kottigepalya
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Kadugodi
Solid Waste (Garbage) Related,Garbage dump,Ullalu
Forest,Issues related Snakes/Birds/Monkeys,Kottigepalya
veterinary,Animal birth control/neutering of stray dogs,Singasandra
Road Maintenance(Engg),Potholes,Hongasandra
E khata / Khata services,Ekhata - name correction,Someshwara
Revenue Department,Unable to Generate the receipt after property tax payment.,Giri Nagar
Road Maintenance(Engg),Road side drains,Anjanapur
veterinary,Fatally injured - Needs immediate attention,Laggere
veterinary,Stray cattle related complaints,Benniganahalli
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Hemmigepura
Solid Waste (Garbage) Related,Garbage dump,Marathalli
veterinary,Stray dog related complaints,Gottigere
Road Maintenance(Engg),UnAuthorised Constructions,J.P.Nagar
veterinary,Aged street dogs please take action,BTM Layout
E khata / Khata services,Ekhata Other corrections,Doddabommasandra
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Kammanahalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,T-Dasarahalli
E khata / Khata services,Ekhata Other corrections,Shakambari Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Sudam Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Muneshwara Nagar
Health Dept,Increase in mosquito density,Hebbal
veterinary,Stray/Rabid dog bite,Shettyhalli
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Moodalapalya
Storm  Water Drain(SWD),Sewerage water left in SWD,Subhash Nagar
E khata / Khata services,Ekhata Other corrections,Gali Anjaneya Swamy Temple Ward
Road Maintenance(Engg),Debris Removal / Construction Material,Kacharakanahalli
Solid Waste (Garbage) Related,Garbage dump,Mangammanapalya
E khata / Khata services,Ekhata missing in online,Gottigere
Forest,Removal of dead/fallen trees,H.M.T
E khata / Khata services,Ekhata Area Correction,Gurappanapalya
veterinary,Animal Rescue - Not well - Requires attention,Jnanabharathi Ward
E khata / Khata services,Other Khata / ekhata issues,Uttarahalli
Forest,Removal of dead/fallen trees,Maruthi Mandira Ward
Forest,obstructions Branches / Trees.,Shanthi Nagar
Road Infrastructure,Road Infrastructure,Varthur
Road Maintenance(Engg),Debris Removal / Construction Material,Ganga Nagar
Town Planning,Noise during Building Construction,Giri Nagar
Forest,obstructions Branches / Trees.,Kavalbyrasandra
E khata / Khata services,Other Khata / ekhata issues,Sri Nagar
E khata / Khata services,ekhata approval pending with ARO,Vignana Nagar
Solid Waste (Garbage) Related,Sweeping not done,Domlur
Health Dept,Increase in mosquito density,Domlur
Forest,Removal of dead/fallen trees,Chowdeshwari Ward
E khata / Khata services,ekhata approval pending with ARO,Gottigere
veterinary,Fatally injured - Needs immediate attention,Azad Nagar
Road Maintenance(Engg),footpath encroachment,Gandhi Nagar
Solid Waste (Garbage) Related,Garbage dump,Shivaji Nagar
Solid Waste (Garbage) Related,Garbage dump,Jayanagar East
veterinary,Animal Cruelty/Ill-Treated / Abused,Deepanjali Nagar
Road Infrastructure,Road Infrastructure,Doddanekkundi
Road Maintenance(Engg),Road cutting,Hanumantha Nagar
E khata / Khata services,Ekhata missing in online,Bellandur
E khata / Khata services,Other Khata / ekhata issues,Yelachenahalli
E khata / Khata services,Ekhata - name correction,Hemmigepura
Town Planning,UnAuthorised Building Constructions,Vasanthapura
E khata / Khata services,Ekhata Area Correction,Subramanya Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Vidyaranyapura
Road Infrastructure,Road Infrastructure,Nagapura
Road Maintenance(Engg),Road side drains,Singasandra
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Shakambari Nagar
veterinary,Animal Rescue - Not well - Requires attention,Vidyaranyapura
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Hoodi
Solid Waste (Garbage) Related,Garbage dump,Neelasandra
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Singasandra
E khata / Khata services,Technical Issue In Ekhata,Jakkasandra
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Hoodi
Solid Waste (Garbage) Related,Sweeping not done,Siddapura
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Kuvempu Nagar
Health Dept,Increase in mosquito density,Vignana Nagar
Forest,Removal of dead/fallen trees,Bilekahalli
Forest,obstructions Branches / Trees.,Shiva Nagar
Health Dept,Spraying,Vijanapura
Road Maintenance(Engg),water stagnation,Marathalli
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Siddapura
Town Planning,UnAuthorised Building Constructions,Herohalli
Storm  Water Drain(SWD),Sewerage water left in SWD,Kottigepalya
Forest,obstructions Branches / Trees.,Yelahanka old Satellite Town
Road Maintenance(Engg),Footpath,Basavanagudi
E khata / Khata services,Other Khata / ekhata issues,Hoodi
Road Maintenance(Engg),water stagnation,Kodigehalli
Solid Waste (Garbage) Related,Garbage dump,Malleshwaram
E khata / Khata services,new Khata / Ekhata registration / creation,Varthur
Estate,Encroachment,Doddanekkundi
veterinary,Animal Rescue - Not well - Requires attention,Mangammanapalya
Forest,obstructions Branches / Trees.,Hegganahalli
Town Planning,UnAuthorised Building Constructions,Domlur
Road Maintenance(Engg),Footpath,Sri Nagar
Road Maintenance(Engg),Road side drains,Mangammanapalya
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Shankaramata
E khata / Khata services,Other Khata / ekhata issues,Banashankari Temple Ward
Road Infrastructure,Road Infrastructure,Padmanabha Nagar
Forest,obstructions Branches / Trees.,Ganeshmandira Ward
Road Maintenance(Engg),Road side drains,Kuvempu Nagar
veterinary,Stray/Rabid dog bite,Dodda Bidarkallu
veterinary,Animal birth control/neutering of stray dogs,Basavanagudi
veterinary,Animal birth control/neutering of stray dogs,Uttarahalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Shanthala Nagar
Solid Waste (Garbage) Related,Garbage dump,Jayachamarajendra Nagar
Forest,Removal of dead/fallen trees,Jayachamarajendra Nagar
Solid Waste (Garbage) Related,Sweeping not done,Dharmarayaswamy Temple Ward
Forest,obstructions Branches / Trees.,Ulsoor
Solid Waste (Garbage) Related,Sweeping not done,Basavanagudi
Solid Waste (Garbage) Related,Sweeping not done,Yelachenahalli
Health Dept,Increase in mosquito density,Radhakrishna Temple
Health Dept,Spraying,Domlur
veterinary,Stray/Rabid dog bite,Varthur
veterinary,Fatally injured - Needs immediate attention,Pulikeshi Nagar
Health Dept,Increase in mosquito density,Arakere
veterinary,shifting of the street dogs to other places,Varthur
Road Maintenance(Engg),Debris Removal / Construction Material,Adugodi
E khata / Khata services,Ekhata Area Correction,Deepanjali Nagar
Projects Central,Potholes,Hoysala Nagar
Solid Waste (Garbage) Related,Garbage dump,Jayamahal
Solid Waste (Garbage) Related,Garbage dump,Rajagopala Nagar
Road Maintenance(Engg),Road side drains,Vidyaranyapura
Road Maintenance(Engg),water stagnation,Muneshwara Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Ramamurthy Nagar
veterinary,Animal Surgery gone wrong,Doddanekkundi
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Kadugondanahalli
Solid Waste (Garbage) Related,Sweeping not done,Byatarayanapura
Road Infrastructure,Road Infrastructure,Chikpete
Projects Central,Stagnation of water on road/ Water logging,Jayanagar East
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Jayachamarajendra Nagar
E khata / Khata services,Other Khata / ekhata issues,Singasandra
veterinary,Animal Rescue - Not well - Requires attention,Dharmarayaswamy Temple Ward
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Nagarabhavi
Forest,Removal of dead/fallen trees,Hosakerehalli
Solid Waste (Garbage) Related,Sweeping not done,Ejipura
Road Infrastructure,Road Infrastructure,Gurappanapalya
Forest,obstructions Branches / Trees.,Kadugodi
Health Dept,Zonal Violation of the Building,Jeevanbhima Nagar
Electrical,Street Lights Switched On During Day Time,Doddabommasandra
E khata / Khata services,Other Khata / ekhata issues,HAL Airport
Solid Waste (Garbage) Related,Sweeping not done,Newthippasandra
Health Dept,Dengue positive,S.K.Garden
Advertisement,Flex and banners,Bellandur
Health Dept,Unhygienic premises in Hotel etc,Jeevanbhima Nagar
E khata / Khata services,Other Khata / ekhata issues,Basaveshwara Nagar
veterinary,Stray dog related complaints,Govindraja Nagara
Health Dept,Dengue positive,Nagavara
Health Dept,Fogging,Basavanagudi
Road Infrastructure,Road Infrastructure,Rajarajeshwari Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Marathalli
Health Dept,Dengue positive,Varthur
Advertisement,Flex and banners,K.R.Puram
Road Maintenance(Engg),Road cutting,Shanthala Nagar
Road Maintenance(Engg),Road side drains,Nayandanahalli
Road Maintenance(Engg),Footpath,Hagadooru
Road Maintenance(Engg),Debris Removal / Construction Material,Sanjay Nagar
Health Dept,Dengue positive,Kempegowda Ward
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Kamakshipalya
veterinary,Fatally injured - Needs immediate attention,Begur
Road Maintenance(Engg),Debris Removal / Construction Material,Hongasandra
E khata / Khata services,Other Khata / ekhata issues,HSR Layout
Solid Waste (Garbage) Related,Sweeping not done,Sarvagna Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Ganga Nagar
Health Dept,Dengue positive,BTM Layout
Health Dept,Dengue positive,K.R.Puram
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Pulikeshi Nagar
Health Dept,Dengue positive,Attiguppe
Health Dept,Dengue positive,Sagayapuram
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Arakere
veterinary,Fatally injured - Needs immediate attention,Padmanabha Nagar
Health Dept,Dengue positive,Mangammanapalya
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Benniganahalli
veterinary,Mutton/Chicken/fish stall Unhygienic maintenance,Sagayapuram
Road Infrastructure,Road Infrastructure,Kammanahalli
Health Dept,Dengue positive,Kammanahalli
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Thanisandra
Health Dept,Increase in mosquito density,Kammanahalli
Road Maintenance(Engg),Potholes,Mathikere
Health Dept,Dengue positive,Dharmarayaswamy Temple Ward
Electrical,Requirement For New Street Lights,Kengeri
Solid Waste (Garbage) Related,Sweeping not done,Kumaraswamy Layout
Plastic,Use of banned single use plastic,Padmanabha Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Bapuji Nagar
Solid Waste (Garbage) Related,Garbage dump,Moodalapalya
Revenue Department,Discrepancy In Khata Certificate and Khata Extract,Anjanapur
the link is not enabled in e aasthi portal for pid 7321683637,because it is still in RI Pending from 3 months. So please do the approval for provisional khata then correction link will open as you have already said in previous responses.,
so that correction link will enable.,,
Forest,obstructions Branches / Trees.,Garudacharpalya
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Banaswadi
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Karisandra
veterinary,Anti Rabies Vaccination of stray dogs,Nagapura
veterinary,Stray dog related complaints,Moodalapalya
E khata / Khata services,Ekhata - name correction,Shanthala Nagar
Solid Waste (Garbage) Related,Garbage dump,Binnipet
Electrical,Requirement For New Street Lights,Chikpete
Solid Waste (Garbage) Related,Sweeping not done,Katriguppe
Road Maintenance(Engg),Debris Removal / Construction Material,Pulikeshi Nagar
Road Maintenance(Engg),Footpath,Nayandanahalli
Town Planning,UnAuthorised Building Constructions,Jnanabharathi Ward
Forest,obstructions Branches / Trees.,Malleshwaram
Solid Waste (Garbage) Related,Sweeping not done,H.M.T
Forest,obstructions Branches / Trees.,Hongasandra
Electrical,Street Lights Switched On During Day Time,Jakkur
Road Maintenance(Engg),Potholes,Chamrajpet
veterinary,Animal Rescue - Not well - Requires attention,Sagayapuram
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Bellandur
veterinary,Stray dog related complaints,Manorayanapalya
Road Maintenance(Engg),Footpath,Katriguppe
Road Maintenance(Engg),Footpath,Pattabhiram Nagar
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Vidyaranyapura
Road Maintenance(Engg),footpath encroachment,HBR Layout
E khata / Khata services,Ekhata Other corrections,Gottigere
veterinary,Stray/Rabid dog bite,Konanakunte
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Jakkasandra
Solid Waste (Garbage) Related,Garbage dump,Hosakerehalli
Road Maintenance(Engg),Debris Removal / Construction Material,Yelahanka old Satellite Town
Solid Waste (Garbage) Related,Garbage dump,J.P.Park
Forest,Removal of dead/fallen trees,Sanjay Nagar
veterinary,Stray dog related complaints,Shanthala Nagar
Solid Waste (Garbage) Related,Sweeping not done,Padmanabha Nagar
veterinary,Stray/Rabid dog bite,HBR Layout
Forest,Issues related Snakes/Birds/Monkeys,Kumaraswamy Layout
Solid Waste (Garbage) Related,Garbage dump,Gangenahalli
Road Maintenance(Engg),Potholes,Byrasandra
veterinary,Animal Rescue - Not well - Requires attention,Mallasandra
veterinary,Stray dog related complaints,Banaswadi
Revenue Department,Khata Services (Registration, Transfer, Bifurcation and Amalgamation),Nayandanahalli
veterinary,Animal Rescue - Not well - Requires attention,Newthippasandra
Storm  Water Drain(SWD),Maintenance of SWD,Garudacharpalya
Road Maintenance(Engg),water stagnation,Byatarayanapura
Road Infrastructure,Road Infrastructure,Hoodi
Electrical,Park Lights Not Working,Bapuji Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Vignana Nagar
Storm  Water Drain(SWD),Sewerage water left in SWD,Herohalli
Road Maintenance(Engg),Footpath,Byatarayanapura
Solid Waste (Garbage) Related,Sweeping not done,Sri Rammandira
Road Maintenance(Engg),UnAuthorised Constructions,C.V.Raman Nagar
Road Maintenance(Engg),Road cutting,Konena Agrahara
E khata / Khata services,Other Khata / ekhata issues,Vasanthapura
veterinary,Fatally injured - Needs immediate attention,Nagapura
Solid Waste (Garbage) Related,Sweeping not done,Cottonpet
Road Maintenance(Engg),Potholes,Varthur
Parks and Play grounds,Gym/Children Play equipment in the parks,Vijay Nagar
Solid Waste (Garbage) Related,Dead animal(s),Singasandra
Road Maintenance(Engg),water leakage on road,Doddanekkundi
Solid Waste (Garbage) Related,Sweeping not done,Lingarajapuram
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,BTM Layout
Road Maintenance(Engg),footpath encroachment,Jayamahal
Road Maintenance(Engg),footpath encroachment,Thanisandra
veterinary,Stray/Rabid dog bite,Vijanapura
Health Dept,Unhygienic premises in Hotel etc,Sudam Nagar
Advertisement,Flex and banners,Hosakerehalli
Forest,Removal of dead/fallen trees,Domlur
Forest,Removal of dead/fallen trees,Jayanagar East
Road Maintenance(Engg),Potholes,Vishwanathnagenahalli
Solid Waste (Garbage) Related,Dead animal(s),Hemmigepura
Road Maintenance(Engg),Footpath,Hongasandra
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Giri Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Gurappanapalya
Road Maintenance(Engg),Footpath,Ganga Nagar
Town Planning,Noise during Building Construction,Jakkur
veterinary,Animal Rescue - Not well - Requires attention,Chikkalasandra
Road Maintenance(Engg),Footpath,Vignana Nagar
Road Maintenance(Engg),footpath encroachment,Benniganahalli
Solid Waste (Garbage) Related,Public dustbins not cleaned,Manorayanapalya
Road Maintenance(Engg),Road side drains,Sarakki
Solid Waste (Garbage) Related,Public dustbins not cleaned,Bommanahalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Kushal Nagar
Lakes,Dumping of garbage into lake,Singasandra
Advertisement,Flex and banners,Varthur
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Hosakerehalli
veterinary,Animal Rescue - Not well - Requires attention,Lakkasandra
veterinary,Stray dog related complaints,Kuvempu Nagar
Road Maintenance(Engg),Potholes,Doddanekkundi
Road Infrastructure,Road Infrastructure,Ramamurthy Nagar
veterinary,Stray dog related complaints,Hongasandra
Road Maintenance(Engg),Footpath,Sanjay Nagar
veterinary,Anti Rabies Vaccination of stray dogs,Vannarpet
Forest,Removal of dead/fallen trees,Bellandur
Others,Others,Hombegowda Nagar
Forest,obstructions Branches / Trees.,Sanjay Nagar
veterinary,shifting of the street dogs to other places,Gottigere
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Someshwara
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Domlur
Road Maintenance(Engg),Road side drains,Chokkasandra
Electrical,Park Lights Not Working,Marathalli
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Yelachenahalli
Solid Waste (Garbage) Related,Garbage dump,Hanumantha Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Bellandur
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,Kempegowda Ward
Forest,obstructions Branches / Trees.,Yelachenahalli
Solid Waste (Garbage) Related,Dead animal(s),Kaveripura
Indira Canteen,Food Quality,Doddabommasandra
Electrical,Requirement For New Street Lights,Bagalagunte
Electrical,Requirement For New Street Lights,Rajarajeshwari Nagar
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,C.V.Raman Nagar
veterinary,Animal Rescue - Not well - Requires attention,Bellandur
Road Infrastructure,Road Infrastructure,Horamavu
Forest,Removal of dead/fallen trees,Azad Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Basaveshwara Nagar
Forest,Removal of dead/fallen trees,Siddapura
Water Crisis,Water related issue,Jayanagar East
veterinary,Animal Rescue - Not well - Requires attention,Koramangala
Road Maintenance(Engg),Debris Removal / Construction Material,Ramaswamy Palya
Forest,obstructions Branches / Trees.,Jayanagar East
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Basavanapura
Electrical,Park Lights Not Working,Giri Nagar
Parks and Play grounds,Environmental protection,Horamavu
Health Dept,Air/Noise pollution,Singasandra
Others,Others,Gurappanapalya
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Newthippasandra
Road Maintenance(Engg),Debris Removal / Construction Material,Nagavara
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Ramamurthy Nagar
Forest,Removal of dead/fallen trees,Mahalakshmipuram
Forest,Removal of dead/fallen trees,Hosahalli
Road Maintenance(Engg),footpath encroachment,Sudduguntepalya
Markets,Encroachment,Vasanthapura
Road Maintenance(Engg),Road cutting,Benniganahalli
Electrical,Requirement For New Street Lights,Kadugodi
Road Infrastructure,Road Infrastructure,Jeevanbhima Nagar
veterinary,Stray cattle related complaints,Banashankari Temple Ward
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Lingarajapuram
Solid Waste (Garbage) Related,Burning of Garbage in Open Space,Cottonpet
Forest,Removal of dead/fallen trees,Kaveripura
Parks and Play grounds,Gym/Children Play equipment in the parks,Kengeri
Forest,Removal of dead/fallen trees,Kavalbyrasandra
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Kacharakanahalli
Road Maintenance(Engg),Potholes,Gayathri Nagar
Forest,Removal of dead/fallen trees,Govindraja Nagara
veterinary,Fatally injured - Needs immediate attention,Neelasandra
Forest,obstructions Branches / Trees.,Banashankari Temple Ward
Forest,Removal of dead/fallen trees,Jayamahal
Others,Others,Newthippasandra
Forest,Removal of dead/fallen trees,Manorayanapalya
Road Maintenance(Engg),Footpath,Horamavu
Forest,Removal of dead/fallen trees,Visvesvarapuram
Road Infrastructure,Road Infrastructure,Dharmarayaswamy Temple Ward
Revenue Department,Others (JC),Herohalli
Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,Hemmigepura
Water Crisis,Water related issue,Bagalagunte
Road Infrastructure,Road Infrastructure,Arakere
Others,Others,Binnipet
Forest,obstructions Branches / Trees.,Konena Agrahara
veterinary,Animal Rescue - Not well - Requires attention,Ramamurthy Nagar
Road Maintenance(Engg),Road side drains,Moodalapalya
veterinary,Animal Rescue - Not well - Requires attention,Kaveripura
Solid Waste (Garbage) Related,Garbage dump,Sudduguntepalya
Others,Others,Begur
Forest,obstructions Branches / Trees.,Sampangiram Nagar
Road Maintenance(Engg),Road side drains,Kodigehalli
veterinary,Stray/Rabid dog bite,Shanthi Nagar
Forest,obstructions Branches / Trees.,Byatarayanapura
Forest,Removal of dead/fallen trees,Sagayapuram
Electrical,Open Electrical Junction Box,Shettyhalli
veterinary,Animal birth control/neutering of stray dogs,Shivaji Nagar
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Ganga Nagar
Storm  Water Drain(SWD),Sewerage water left in SWD,Begur
veterinary,Fatally injured - Needs immediate attention,Devasandra
Road Maintenance(Engg),Footpath,Subramanya Nagar
veterinary,Fatally injured - Needs immediate attention,Jayanagar East
Electrical,Street Lights Switched On During Day Time,Ramaswamy Palya
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Gottigere
Road Maintenance(Engg),Road cutting,Varthur
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Padmanabha Nagar
Forest,Removal of dead/fallen trees,Horamavu
Road Infrastructure,Road Infrastructure,Agrahara Dasarahalli
Electrical,Street Lights Switched On During Day Time,Vijay Nagar
Solid Waste (Garbage) Related,Sweeping not done,Maruthi Seva Nagar
veterinary,Dog bite pet dog,Marathalli
Solid Waste (Garbage) Related,Garbage dump,Agaram
Solid Waste (Garbage) Related,Dead animal(s),Jayamahal
Health Dept,Fogging,Shanthi Nagar
19,Guddadahalli,Karnataka 560026
veterinary,Animal Rescue - Not well - Requires attention,Sunkenahalli
veterinary,Stray/Rabid dog bite,Madiwala
Parks and Play grounds,Gym/Children Play equipment in the parks,Giri Nagar
veterinary,Animal Rescue - Not well - Requires attention,Konena Agrahara
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Doddanekkundi
Health Dept,Air/Noise pollution,Yelahanka old Satellite Town
Solid Waste (Garbage) Related,Garbage dumping in vacant sites,HSR Layout
Solid Waste (Garbage) Related,Sweeping not done,Aramane Nagar
Road Maintenance(Engg),Road cutting,Anjanapur
veterinary,Animal Rescue - Not well - Requires attention,Vrushabhavati Nagar
veterinary,Fatally injured - Needs immediate attention,Hagadooru
veterinary,Animal Rescue - Not well - Requires attention,Kadugondanahalli
Road Infrastructure,Road Infrastructure,J.P.Nagar
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Newthippasandra
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Chowdeshwari Ward
Solid Waste (Garbage) Related,Garbage nuisance while transporting,Pattabhiram Nagar
Road Maintenance(Engg),Road side drains,Jogupalya
Electrical,Earthing Issue relate to Electric Poles/Panel Boards,Shankaramata
Health Dept,Spraying,Pattabhiram Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,BTM Layout
Storm  Water Drain(SWD),Sewerage water left in SWD,Bellandur
Road Maintenance(Engg),footpath encroachment,Shivaji Nagar
Advertisement,Flex and banners,Lakshmidevi Nagar
veterinary,Animal Cruelty/Ill-Treated / Abused,Hanumantha Nagar
Town Planning,UnAuthorised Building Constructions,C.V.Raman Nagar
Health Dept,Increase in mosquito density,Yelachenahalli
Storm  Water Drain(SWD),Garbage thrown in storm water drain,Singasandra
Road Infrastructure,Road Infrastructure,Lakkasandra
veterinary,Awareness session / Request for a session,Madiwala
Town Planning,UnAuthorised Building Constructions,Hemmigepura
veterinary,Aged street dogs please take action,Vidyaranyapura
Road Maintenance(Engg),Potholes,Kadugodi
Parks and Play grounds,Issues Related to Parks/Medians/Circles/Island.,Pattabhiram Nagar
Road Maintenance(Engg),Debris Removal / Construction Material,Uttarahalli
Road Maintenance(Engg),water stagnation,Varthur
Storm  Water Drain(SWD),Maintenance of SWD,Newthippasandra
veterinary,Stray/Rabid dog bite,Jnanabharathi Ward
veterinary,Stray dog related complaints,Adugodi
veterinary,Fatally injured - Needs immediate attention,Jayamahal
Electrical,Street Lights Switched On During Day Time,Laggere
veterinary,Anti Rabies Vaccination of stray dogs,Shettyhalli
Solid Waste (Garbage) Related,Garbage vehicle not arrived,Chikkalasandra
veterinary,Animal birth control/neutering of stray dogs,Konanakunte
Solid Waste (Garbage) Related,Sweeping not done,Doddanekkundi
Road Maintenance(Engg),Road cutting,Uttarahalli
Road Maintenance(Engg),Debris Removal / Construction Material,Rajamahal
Lakes,Lake not maintained properly,Arakere
Road Maintenance(Engg),UnAuthorised Constructions,A.Narayanapura
Road Maintenance(Engg),Footpath,J.P.Nagar
Road Maintenance(Engg),Footpath,Begur
Parks and Play grounds,Gym/Children Play equipment in the parks,Rajarajeshwari Nagar
Road Maintenance(Engg),UnAuthorised Constructions,Garudacharpalya
veterinary,Mutton/Chicken/fish stall Unhygienic maintenance,Horamavu
Forest,Removal of dead/fallen trees,Doddabommasandra
Road Maintenance(Engg),Road cutting,Hoodi
Indira Canteen,Cleanliness of Canteen /Food Area,Hebbal
Forest,Removal of dead/fallen trees,Bommanahalli
veterinary,Animal Cruelty/Ill-Treated / Abused,Bellandur
Solid Waste (Garbage) Related,Dead animal(s),Chokkasandra
Others,Others,Sarakki
Road Maintenance(Engg),Road side drains,Hoysala Nagar
Solid Waste (Garbage) Related,Public dustbins not cleaned,Kadugodi
veterinary,Animal birth control/neutering of stray dogs,Arakere
Town Planning,Construction not done as per approved plan (Building Bye Law Violations),Thanisandra
Solid Waste (Garbage) Related,Complaint against SW collector/ SWM official for violation of SWM Rules,Shettyhalli
Indira Canteen,Food Quantity,Uttarahalli
veterinary,Anti Rabies Vaccination of stray dogs,Ramamurthy Nagar
veterinary,Stray dog related complaints,Nandini Layout
